SAE Chapter Name (217 DB),Matched Institution (1440 DB),Match Score,Link 1,Link 2,Link 3
University of Alabama,The University of Alabama,91,https://www.universityofalabamaifc.com/fraternities/sigma-alpha-epsilon,https://www.universityofalabamaifc.com/fraternities/sigma-alpha-epsilon,https://www.universityofalabamaifc.com/fraternities/sigma-alpha-epsilon
Vanderbilt University,Vanderbilt University,100,https://www.vanderbilt.edu/AnS/Anthro/Anth263/end_of_the_sae_house.htm,https://www.vanderbilt.edu/AnS/Anthro/Anth263/end_of_the_sae_house.htm,https://www.vanderbilt.edu/AnS/Anthro/Anth263/end_of_the_sae_house.htm
UNC Chapel Hill,NO MATCH,55,,,
Union University,Union University,100,https://www.uu.edu/studentlife/greek/sigma-alpha-epsilon.cfm,https://www.uu.edu/studentlife/greek/sigma-alpha-epsilon.cfm,https://uusae.org/about
College of William & Mary,NO MATCH,77,,,
University of Virginia,NO MATCH,89,,,
Auburn University,Auburn University,100,https://auburn.campuslabs.com/engage/organization/sae,https://auburn.campuslabs.com/engage/organization/sae,https://auburn.campuslabs.com/engage/organization/sae
"University of Tennessee, Knoxville",The University of Tennessee-Knoxville,94,https://studentlife.utk.edu/gogreek/interfraternity-council/sigma-alpha-epsilon/,https://studentlife.utk.edu/gogreek/interfraternity-council/sigma-alpha-epsilon/,https://studentlife.utk.edu/gogreek/interfraternity-council/sigma-alpha-epsilon/
Sewanee: The University of the South,NO MATCH,87,,,
Oglethorpe University,Oglethorpe University,100,https://oglethorpe.edu/life/things-to-do/clubs-and-organizations/fraternities-and-sororities/,https://oglethorpe.edu/life/things-to-do/clubs-and-organizations/fraternities-and-sororities/,https://oglethorpe.edu/life/things-to-do/clubs-and-organizations/fraternities-and-sororities/
University of Georgia,University of Georgia,100,https://www.greekrank.com/uni/85/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/85/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/85/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of Mississippi,University of Mississippi,100,https://www.saeolemiss.com/about,https://www.saeolemiss.com/about,https://www.saeolemiss.com/about
Louisiana State University,Louisiana Tech University,90,https://www.greekrank.com/uni/306/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/306/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/306/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Furman University,Furman University,100,https://www.greekrank.com/uni/181/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/181/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/181/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Mississippi College,Mississippi College,100,https://www.sae.net/about/meet-our-leadership/,https://www.sae.net/about/meet-our-leadership/,https://www.sae.net/about/meet-our-leadership/
Mercer University,Mercer University,100,https://www.greekrank.com/uni/318/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/318/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/318/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Samford University,Samford University,100,https://www.thesamfordcrimson.com/2024/04/03/final-fraternities-vie-for-a-spot-on-campus/,https://www.thesamfordcrimson.com/2024/04/03/final-fraternities-vie-for-a-spot-on-campus/,https://www.thesamfordcrimson.com/2024/04/03/final-fraternities-vie-for-a-spot-on-campus/
Centre College,Centre College,100,https://www.greekrank.com/uni/208/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/208/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/208/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Rhodes College,Rhodes College,100,https://sites.rhodes.edu/fs-life/who-we-are/chapters-rhodes/sigma-alpha-epsilon,https://sites.rhodes.edu/fs-life/who-we-are/chapters-rhodes/sigma-alpha-epsilon,https://www.actionnews5.com/2019/11/15/new-lawsuit-filed-against-rhodes-college-sae-fraternity-after-alleged-sexual-assault/
Davidson College,Davidson College,100,https://www.davidson.edu/offices-and-services/student-activities/student-organizations/fraternity-sorority-life-patterson-court-council,https://www.davidson.edu/offices-and-services/student-activities/student-organizations/fraternity-sorority-life-patterson-court-council,https://www.davidson.edu/offices-and-services/student-activities/student-organizations/fraternity-sorority-life-patterson-court-council
Gettysburg College,Gettysburg College,100,https://saegettysburg.org/,https://saegettysburg.org/,https://saegettysburg.org/
University of Florida,University of Florida,100,https://www.greekrank.com/uni/31/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/31/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/31/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of Mount Union,University of Mount Union,100,https://www.mountunion.edu/campus-life/student-involvement/fraternity-and-sorority-life/fraternity-life,https://www.mountunion.edu/campus-life/student-involvement/fraternity-and-sorority-life/fraternity-life,https://www.mountunion.edu/campus-life/student-involvement/fraternity-and-sorority-life/fraternity-life
Adrian College,Adrian College,100,https://www.adrian.edu/student-life/clubs-and-organizations/greek-life/overview,https://www.greekrank.com/uni/125/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/rating-308221/,https://www.greekrank.com/uni/125/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/rating-308221/
University of Cincinnati,NO MATCH,80,,,
Georgia Tech,NO MATCH,56,,,
University of Colorado Boulder,University of Colorado Boulder,100,https://coloradosae.org/,https://coloradosae.org/,https://coloradosae.org/
Cornell University,Cornell University,100,https://sae-cornell.org/,https://sae-cornell.org/,https://sae-cornell.org/
Franklin College,NO MATCH,77,,,
Stanford University,Stanford University,100,https://fsl.stanford.edu/our-community/interfraternity-council/sigma-alpha-epsilon,https://fsl.stanford.edu/our-community/interfraternity-council/sigma-alpha-epsilon,https://fsl.stanford.edu/our-community/interfraternity-council/sigma-alpha-epsilon
Washington University in St. Louis,Washington University in St Louis,100,https://www.greekrank.com/uni/380/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/380/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/380/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Penn State University,NO MATCH,87,,,
Ohio State University,Iowa State University,90,https://saeatisu.com/,https://saeatisu.com/,https://saeatisu.com/
MIT,NO MATCH,38,,,
Harvard University,Harvard University,100,https://www.greekrank.com/uni/643/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/643/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/643/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Purdue University,NO MATCH,88,,,
University of Nebraska–Lincoln,University of Nebraska-Lincoln,100,https://sae635.org/,https://sae635.org/,https://sae635.org/
Bucknell University,Bucknell University,100,https://www.saebucknell.org/,https://www.saebucknell.org/,https://www.saebucknell.org/
Worcester Polytechnic Institute,Worcester Polytechnic Institute,100,https://www.saewpi.com/,https://www.saewpi.com/,https://www.saewpi.com/
University of Arkansas,University of Arkansas,100,https://uagreeks.uark.edu/interfraternity-council/sigma-alpha-epsilon.php,https://uagreeks.uark.edu/interfraternity-council/sigma-alpha-epsilon.php,https://uagreeks.uark.edu/interfraternity-council/sigma-alpha-epsilon.php
Northwestern University,Northwestern University,100,https://www.northwestern.edu/fsl/councils/interfraternity-council/sigma-alpha-epsilon-fraternity.html,https://www.northwestern.edu/fsl/councils/interfraternity-council/sigma-alpha-epsilon-fraternity.html,https://www.northwestern.edu/fsl/councils/interfraternity-council/sigma-alpha-epsilon-fraternity.html
UC Berkeley,NO MATCH,56,,,
Tulane University,NO MATCH,88,,,
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,100,https://fsaffairs.illinois.edu/organizations/fraternities/SigmaAlphaEpsilon,https://fsaffairs.illinois.edu/organizations/fraternities/SigmaAlphaEpsilon,https://fsaffairs.illinois.edu/organizations/fraternities/SigmaAlphaEpsilon
University of Kentucky,University of Kentucky,100,https://www.greekrank.com/uni/40/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/40/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/40/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of Pennsylvania,University of Pennsylvania,100,https://ofsl.universitylife.upenn.edu/chapter/sigma-alpha-epsilon/,https://ofsl.universitylife.upenn.edu/chapter/sigma-alpha-epsilon/,https://www.greekrank.com/uni/76/fraternities/
University of Minnesota,NO MATCH,87,,,
Colorado School of Mines,Colorado School of Mines,100,https://www.mines.edu/greek-life/sae/,https://www.mines.edu/greek-life/sae/,https://www.mines.edu/greek-life/sae/
University of Wisconsin–Madison,University of Wisconsin-Madison,100,https://www.greekrank.com/uni/64/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/64/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/64/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of Kansas,University of Kansas,100,https://www.ku-sae.com/,https://www.ku-sae.com/,http://kuifc.org/sigma-alpha-epsilon
Birmingham‑Southern College,NO MATCH,69,,,
Emory University,Emory University,100,https://www.greekrank.com/uni/163/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/163/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/163/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Baylor University,Baylor University,100,https://www.greekrank.com/uni/165/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/165/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/165/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
George Washington University,George Washington University,100,https://www.greekrank.com/uni/51/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/51/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/51/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
