Chapter,Former name,Charter date and range,Institution,Location,Status,References,
Alpha,Virginia Alpha,"September 11, 1865 – 1881",,"Lexington, Virginia",Inactive,[a],
Beta,Virginia Beta,"November 18, 1865 – 1887;
1890–1899;
1906–1949",Washington and Lee University,"Lexington, Virginia",Inactive,[b],
Gamma,Tennessee Gamma,"March 4, 1874 – 1876",,"Columbia, Tennessee",Inactive,[c],
Delta,Virginia Delta,"November 25, 1868 – 1985;
1996",University of Virginia,"Charlottesville, Virginia",Active,[d], 
Epsilon,Virginia Epsilon,"November 10, 1869 – 1876;
1881–1892",Roanoke College,"Salem, Virginia",Inactive,,
Zeta,West Virginia Zeta,"April 1, 1866 – 1867",,"Weston, West Virginia",Inactive,[c],
Eta,Virginia Gamma,"July 7, 1866 – 1876",,"Harrisonburg, Virginia",Inactive,[c],
Theta,Tennessee Theta,"July 22, 1866 – 1867",,"Knoxville, Tennessee",Inactive,[c],
Iota,Tennessee Iota,"November 15, 1867 – 1873",Union University,"Murfreesboro, Tennessee",Inactive,[e],
Kappa,Tennessee Kappa,"February 5, 1867 – 1872",,"Memphis, Tennessee",Inactive,[c],
Lambda,Tennessee Lambda,"November 17, 1868 – 1872;
1899–1902",Cumberland University,"Lebanon, Tennessee",Inactive,,
Mu,Kentucky Mu,"March 10, 1870 – 1872;
1881 – 1887",Kentucky Military Institute,"Lyndon, Kentucky",Inactive,[f],
Nu,Tennessee Nu,"November 2, 1871 – 1872",University of Nashville,"Nashville, Tennessee",Inactive,[g],
Xi,North Carolina Xi,"March 30, 1872 – 1879;
1890",Duke University,"Trinity, North Carolina",Active,[h],
Omicron,Kentucky Omicron,"May 16, 1872 – 1873",Bethel College,"Russellville, Kentucky",Inactive,[a],
Pi,Tennessee Pi,"October 18, 1872 – 1873;
1901–November 2021",University of Tennessee,"Knoxville, Tennessee",Inactive,[7][i],
Rho,Virginia Rho,"December 12, 1872 – 1875",Bethel Academy,"Warrenton, Virginia",Inactive,[j],
Sigma,Georgia Sigma,"January 3, 1874 – 1875",,"Rome, Georgia",Inactive,[c],
Tau (First),Virginia Tau,1874–1876,Randolph–Macon College,"Ashland, Virginia",Inactive,,
