Chapter,Charter date and range,Institution,City or county,State or province,Status,Reference
Zeta Zeta,"April 8, 1995",University of Wisconsin–Oshkosh,Oshkosh,Wisconsin,Active,[eo]
Zeta Xi,"November 15, 1997",Truman State University,Kirksville,Missouri,Active,[eq]
"Zeta Upsilon
(see Alpha Tau Prime)",2004,College of William & Mary,Williamsburg,Virginia,Active,[21][ew]
Zeta Theta,1996–2002,Bryant University,Smithfield,Rhode Island,Inactive,[88][ep]
Zeta Tau,"March 1, 2003",Saint Louis University,St. Louis,Missouri,Active,[ev]
Zeta Sigma,"February 23, 2002 – 2011",West Chester University,West Chester,Pennsylvania,Inactive,
Zeta Rho,2002–2017,Texas A&M University–Corpus Christi,Corpus Christi,Texas,Inactive,[eu]
Zeta Psi,"2003–2017,
2023",University of Central Florida,Orlando,Florida,Active,[94][95][ey]
Zeta Prime,"1847–1850,
1914–1963",Williams College,Williamstown,Massachusetts,Inactive,[7][j]
Zeta Pi,2000–2007,Pepperdine University,Malibu,California,Inactive,[et]
Zeta Phi,"October 8, 1890",University of Missouri,Columbia,Missouri,Active,[bn]
Zeta Omicron,1999–2021,Southern Illinois University,Carbondale,Illinois,Inactive,[93][es]
Zeta Omega,"November 9, 2007",University of San Diego,San Diego,California,Active,
Zeta Nu,"November 15, 1997",George Washington University,"Washington, D.C.",District of Columbia,Active,
Zeta Mu,1998–2020,Nova Southeastern University,Davie,Florida,Inactive,[92]
Zeta Lambda,"April 4, 1998 – 2006;
2013",Furman University,Greenville,South Carolina,Active,[91][er]
Zeta Kappa,1998–2003,University of Nevada Las Vegas,Las Vegas,Nevada,Inactive,
Zeta Iota,"1997 – February 5, 2000",Utah State University,Logan,Utah,Inactive,[89][90]
Zeta Gamma,"April 29, 1995 – 1999;
2016","University of California, San Diego",San Diego,California,Active,[43][el]
Zeta Eta,"March 11, 1995",San Jose State University,San Jose,California,Active,
Zeta Epsilon,"March 18, 1995",Villanova University,Villanova,Pennsylvania,Active,[en]
Zeta Delta,"April 1, 1995 – 2009",Florida Atlantic University,Boca Raton,Florida,Colony,[30][em]
Zeta Chi,"February 21, 2004",University of Connecticut,Storrs,Connecticut,Active,[ex]
Zeta Beta,"March 26, 1994 – 2009; 2024",University of South Florida,Tampa,Florida,Active,[44][ek]
Zeta Alpha,1994–2002,University of Lynchburg,Lynchburg,Virginia,Inactive,[85][86][87][ej]
Zeta,"1850–1912;
198x ? –2003;
2005–2012",Hampden–Sydney College,Hampden Sydney,Virginia,Inactive,[m][n]
Xi,"April 1, 1855 – 1873;
1888",Knox College,Galesburg,Illinois,Active,[t]
Upsilon,"January 31, 1858 – 1861;
1989–1999;
2010",University of South Carolina,Columbia,South Carolina,Active,[x]
Theta Zeta,"November 9, 1906",University of Toronto,Toronto,Ontario,Active,[ca]
