Chapter,Charter date and range,Institution,Location,Status,References
Alpha,"November 2, 1909 – 1970; 1983",Boston University,"Boston, Massachusetts",Active,[a]
Gamma,"1912–1978, 2003–2010",University of Massachusetts Amherst,"Amherst, Massachusetts",Inactive,
Epsilon,"1912–1956, 1999–2021",University of Pennsylvania,"Philadelphia, Pennsylvania",Inactive,
Zeta,1912,Pennsylvania State University,"State College, Pennsylvania",Active,[b]
Iota,1912–1968,Brown University,"Providence, Rhode Island",Inactive,[c]
Lambda,1912–October 2014,Massachusetts Institute of Technology,"Cambridge, Massachusetts",Inactive,[9][d]
Beta,"1913–1987, 1994–2024",University of Maine,"Orono, Maine",Inactive,[e]
Sigma,"1913–1995, 2003",University of Michigan,"Ann Arbor, Michigan",Active,[f]
Phi,1913–1998,Rutgers University–New Brunswick,"New Brunswick, New Jersey",Inactive,
Delta,"1913–1983, 1985",Bucknell University,"Lewisburg, Pennsylvania",Active,[g]
Pi,"1913–1988, 1994",Worcester Polytechnic Institute,"Worcester, Massachusetts",Active,[h]
Omicron,1913,Cornell University,"Ithaca, New York",Active,[i]
Mu,1913–2006,"University of California, Berkeley","Berkeley, California",Inactive,[j]
Tau,1914,Washington State University,"Pullman, Washington",Active,[k]
Eta,1914,University of Rhode Island,"Kingston, Rhode Island",Active,[l]
Theta,1914–1933,Dartmouth College,"Hanover, New Hampshire",Inactive,[m]
Upsilon,1914–2017,Louisiana State University,"Baton Rouge, Louisiana",Active,[n]
Xi,1915–1995,DePauw University,"Greencastle, Indiana",Inactive,[o]
Chi,1915–2019,University of Illinois Urbana-Champaign,"Champaign, Illinois",Inactive,[p]
Omega,1915,Auburn University,"Auburn, Alabama",Active,[q]
Kappa,1915–1937,Knox College,"Galesburg, Illinois",Inactive,[r]
Nu,"1915–1987, 1990–2020; 202x ?",University of Georgia,"Athens, Georgia",Active,[10][s]
Rho,1915–1940,Union College,"Schenectady, New York",Inactive,[t]
Psi,1915–2016,Purdue University,"West Lafayette, Indiana",Inactive,[u]
Alpha-Alpha,"1915–2017, 2020",Butler University,"Indianapolis, Indiana",Active,[11][v]
Alpha-Gamma,1916,University of South Dakota,"Vermillion, South Dakota",Active,[w]
