Chapter,Charter date and range,Institution,Location,Status,Reference
Alpha Prime (see Eta Prime),1858–1860,Bethany College,"Bethany, West Virginia",Inactive,[a]
Alpha Second (see Gamma),"February 21, 1861 – c. 1867",Jefferson College,"Washington, Pennsylvania",Consolidated,[1][b]
Alpha Third (see Omicron Prime and Mu Third),1868–1874,Ohio Wesleyan University,"Delaware, Ohio",Active,[c]
Alpha (see Delta Second),"1875–1997, 2001",Allegheny College,"Meadville, Pennsylvania",Active,[d]
Beta,"June 1862–2009, 2018–2021",Ohio University,"Athens, Ohio",Inactive,[6][7][8][e]
Gamma Prime,"July 1, 1861 – 1862",West Liberty College,"West Liberty, West Virginia",Inactive,[f]
Gamma (see Alpha Second),"February 22, 1861",Washington & Jefferson College,"Washington, Pennsylvania",Active,[1][g]
Delta Prime,1861–1862,Morgantown Academy,"Morgantown, West Virginia",Inactive,[h]
Delta Second (see Alpha),July 1863–1875,Allegheny College,"Meadville, Pennsylvania",Reissued,[i]
Delta (see Beta Beta prime),"1880–2005, 2007",University of Michigan,"Ann Arbor, Michigan",Active,[j]
Epsilon Prime,"October 21, 1861 – c. 1862",Franklin College,"New Athens, Ohio",Inactive,[k]
Epsilon Second (see Iota Pime),"November 11, 1864 – 1875",Western University of Pennsylvania,"Pittsburgh, Pennsylvania",Inactive,[l]
Epsilon,1876,Albion College,"Albion, Michigan",Active,
Zeta Prime,"1865 – March 29, 1871",Monmouth College,"Monmouth, Illinois",Inactive,[m]
Zeta,"1882–1894, 1895",Case Western Reserve University,"Cleveland, Ohio",Active,
Eta Prime (see Pi Prime and Theta),"January 26, 1864 – 1865",Bethany College,"Bethany, West Virginia",Inactive,[n]
Eta,"1873–1895, 1972–2004",University of Akron,"Akron, Ohio",Inactive,[o]
Theta (see Pi Prime),"c. 1870–1895, 1966",Bethany College,"Bethany, West Virginia",Active,[p]
Iota Prime (see Epsilon Second),"November 11, 1864 – 186x ?",Western University (now University of Pittsburgh),"Pittsburgh, Pennsylvania","Inactive, Reissued",[q]
Iota Second,"February 20, 1868 – 1871",Jamestown Collegiate Institute,"Jamestown, New York",Inactive,[r]
Iota (see Xi prime),"May 3, 1872 – 1897; 1947–1997; 2000–2004",Michigan State University,"East Lansing, Michigan",Inactive,[s]
Kappa Prime,"December 14, 1865 – 1868",Poughkeepsie Institute,"Poughkeepsie, New York",Inactive,[t]
Kappa (see Sigma Prime),"1869––2003, 2009",Hillsdale College,"Hillsdale, Michigan",Active,[u]
Lambda Prime,"February 4, 1869 – 1885",Lombard University,"Galesburg, Illinois",Inactive,[v]
Lambda,"1886–1930, 2014–2020",Vanderbilt University,"Nashville, Tennessee",Inactive,[9][w]
Mu Prime,1861–1862,Waynesburg College,"Waynesburg, Pennsylvania",Inactive,[x]
