Chapter,Chartered/Range,Institution,City,State/Province,Status,Reference
Zeta,"December 10, 1869",University of Virginia,Charlottesville,Virginia,Active,
Xi-Zeta,"July 27, 1996 – 200x ?",Northwest Missouri State University,Maryville,Missouri,Inactive,
Xi-Xi,"April 10, 1999 – 2021",Marquette University,Milwaukee,Wisconsin,Inactive,
Xi-Upsilon,"September 28, 2002",East Texas A&M University,Commerce,Texas,Active,[q]
Xi-Theta,"November 16, 1996 – 2018",Valdosta State University,Valdosta,Georgia,Inactive,
Xi-Tau,"April 27, 2002 – 20xx ?",John Carroll University,University Heights,Ohio,Inactive,
Xi-Sigma,"August 25, 2001",Western Carolina University,Cullowhee,North Carolina,Active,
Xi-Rho,"February 5, 2000",Stockton University,Galloway,New Jersey,Active,
Xi-Psi,"November 6, 2004 – 20xx ?",University of North Florida,Jacksonville,Florida,Inactive,
Xi-Phi,"April 26, 2003 – 20xx ?",University of South Carolina Upstate,Spartanburg,South Carolina,Inactive,
Xi-Omicron,"May 1, 1999 – 2000",Eastern Michigan University,Ypsilanti,Michigan,Inactive,
Xi-Omega,"November 13, 2004",Idaho State University,Pocatello,Idaho,Active,
Xi-Nu,"March 27, 1999 -200x ?; February 10, 2018 -",University of Western Ontario,London,"Ontario, Canada",Active,[9]
Xi-Mu,"April 18, 1998 – 200x ?",West Texas A&M University,Canyon,Texas,Inactive,
Xi-Lambda,"March 22, 1997 – 2018",University of Delaware,"Newark, Delaware",Delaware,Inactive,
Xi-Kappa,"December 7, 1996 – 20xx ?",Florida International University,Miami,Florida,Inactive,
Xi-Iota,"November 16, 1996",Columbus State University,Columbus,Georgia,Active,
Xi-Gamma,"April 1, 1995 – 201x ?",State University of New York at New Paltz,New Paltz,New York,Inactive,
Xi-Eta,"November 16, 1996 – 20xx ?",Christian Brothers University,Memphis,Tennessee,Inactive,
Xi-Epsilon,"March 30, 1996",Thiel College,Greenville,Pennsylvania,Active,
Xi-Delta,"April 29, 1995",The University of Texas at San Antonio,San Antonio,Texas,Active,
Xi-Chi,"April 24, 2004 – 20xx ?",University of Northern Colorado,Greeley,Colorado,Inactive,
Xi-Beta,"March 4, 1995",Northeastern University,Boston,Massachusetts,Active,
Xi-Alpha,"May 14, 1994 – 200x ?","Minnesota State University, Mankato",Mankato,Minnesota,Inactive,
Xi second,"May 29, 1890",University of Arkansas,Fayetteville,Arkansas,Active,
Xi Prime,"January 3, 1874 – 1884",Virginia Military Institute,Lexington,Virginia,Inactive,[a]
Upsilon-Zeta,"May 15, 2021",Middle Georgia State University,Macon,Georgia,Active,
Upsilon-Xi,"February 9, 2019",Rutgers University–Newark,Newark,New Jersey,Active,[b]
Upsilon-Upsilon,"March 13, 2021",Illinois State University,Normal,Illinois,Active,
Upsilon-Theta,"April 22, 2017",Saint Leo University,Saint Leo,Florida,Active,
Upsilon-Tau,"February 29, 2020",Merrimack College,North Andover,Massachusetts,Active,
Upsilon-Sigma,"January 2, 2020",University of Massachusetts Boston,Boston,Massachusetts,Active,
Upsilon-Rho,"May 4, 2019","California State University, Channel Islands",Camarillo,California,Active,
Upsilon-Psi,"August 20, 2022",University of Missouri at Kansas City,Kansas City,Missouri,Active,
Upsilon-Pi,"April 13, 2019",State University of New York at Oswego,Oswego,New York,Active,
Upsilon-Phi,"November 13, 2021",University of Guelph,Guelph,"Ontario, Canada",Active,
Upsilon-Omicron,"March 23, 2019",University of New Haven,West Haven,Connecticut,Active,[b]
