Chapter,Chartered date and range,Institution,Location,Status,References
Alpha,"March 1, 1868 – 1879;
1891–2024",University of Virginia,"Charlottesville, Virginia",Inactive,
Beta,"March 1, 1869 – 1870;
1894–2012",Davidson College,"Davidson, North Carolina",Inactive,[4]
Gamma,"February 27, 1871 – 1895;
1897–1978;
1891–2019",College of William & Mary,"Williamsburg, Virginia",Provisional,[4][a]
Delta,"June 6, 1871 – 1873;
1905–1969",Birmingham–Southern College,"Birmingham, Alabama",Inactive,
Epsilon,"November 11, 1873 – 1880;
1971–1993;
2000",Virginia Tech,"Blacksburg, Virginia",Active,[b]
Zeta,"March 23, 1874 – 1875;
1886–1897;
1892–2012;
2018",University of Tennessee,"Knoxville, Tennessee",Active,
Eta,"January 14, 1879 – 1881;
1903–2009",Tulane University,"New Orleans, Louisiana",Inactive,
Theta,"October 21, 1878 – 2024",Rhodes College,"Memphis, Tennessee",Inactive,
Iota,"November 14, 1885 – 2012;
2015",Hampden–Sydney College,"Hampden Sydney, Virginia",Active,
Kappa,"May 1, 1888 – 1888;
1900",Transylvania University,"Lexington, Kentucky",Active,
Lambda,"January 24, 1889 – 1890",The Citadel,"Charleston, South Carolina",Inactive,
Mu,"December 9, 1890 – 1908;
1921",Presbyterian College,"Clinton, South Carolina",Active,[c]
Nu,"February 23, 1891 – 1906;
1951",Wofford College,"Spartanburg, South Carolina",Active,[d]
Xi,"October 22, 1891 – 1897;
1928–1972;
1975–2002;
2007",University of South Carolina,"Columbia, South Carolina",Active,[e]
Omicron,"October 23, 1891 – 1896;
1901–2006;
April 19, 2024",University of Richmond,"Richmond, Virginia",Active,
Pi,"February 4, 1892 – 1898;
1901",Washington and Lee University,"Lexington, Virginia",Active,
Rho,"May 12, 1892 – 1908",Cumberland University,"Lebanon, Tennessee",Inactive,
Sigma,"September 23, 1893 – 1895;
1897–1906;
1921–2010;
2016",Vanderbilt University,"Nashville, Tennessee",Active,
Tau,"February 11, 1895 – 1897;
1899",University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Active,
Upsilon,"April 5, 1895",Auburn University,"Auburn, Alabama",Active,
Phi,"October 15, 1896 – 1909;
2021",Roanoke College,"Salem, Virginia",Active,[f]
Chi,"May 6, 1898 – 1910",Sewanee: The University of the South,"Sewanee, Tennessee",Inactive,
Psi,"March 1, 1900 – 1933;
1998–2018",University of North Georgia,"Dahlonega, Georgia",Provisional,[5][g]
Omega,"June 5, 1901 – 2014;
2018",University of Kentucky,"Lexington, Kentucky",Active,
Alpha Alpha,"November 26, 1901 – 1971;
1973",Duke University,"Durham, North Carolina",Active,
Alpha Beta,"March 8, 1902 – 1905;
1947–1951",Centenary College,"Shreveport, Louisiana",Inactive,[6][h]
Alpha Gamma,"December 11, 1903",Louisiana State University,"Baton Rouge, Louisiana",Active,
Alpha Delta,"February 20, 1904",Georgia Tech,"Atlanta, Georgia",Active,
Alpha Epsilon,"October 31, 1904 – 2013;
2019–2020",North Carolina State University,"Raleigh, North Carolina",Active,[i]
Alpha Zeta,"November 2, 1904 – 1993;
2000",University of Arkansas,"Fayetteville, Arkansas",Active,[j]
Alpha Eta,"November 17, 1904 – 2000;
2001",University of Florida,"Gainesville, Florida",Active,
Alpha Theta,"December 6, 1904 – 1909;
1925–1998;
2003–2018;
2022",West Virginia University,"Morgantown, West Virginia",Active,[5][k]
Alpha Iota,"March 23, 1905 – 2000;
2004",Millsaps College,"Jackson, Mississippi",Active,[l]
Alpha Kappa,"November 28, 1905",Missouri University of Science and Technology,"Rolla, Missouri",Active,
Alpha Lambda,"April 19, 1906 – 1921;
1926",Georgetown College,"Georgetown, Kentucky",Active,[m]
Alpha Mu,"January 25, 1908 – 1915;
1930",University of Georgia,"Athens, Georgia",Active,[n]
