Chapter,Charter date and range,Institution,Location,Status,References
Ohio Alpha,"December 26, 1848 – 1857;
1865–1873;
1885–2005;
2007–2018;
2021",Miami University,"Oxford, Ohio",Active,
Indiana Alpha,"October 13, 1849 – 2005;
2008",Indiana University Bloomington,"Bloomington, Indiana",Active,
Kentucky Alpha (See Kentucky Alpha-Delta),"April 9, 1850 – August 9, 1901",Centre College,"Danville, Kentucky",Consolidated,[a][b]
Indiana Beta,"November 16, 1850",Wabash College,"Crawfordsville, Indiana",Active,
Ohio Gamma Prime,"May 18, 1852 – 1854",Wittenberg University,"Springfield, Ohio",Inactive,
Texas Alpha Prime,"June 9, 1853 – 1854",Austin College,"Austin, Texas",Inactive,
Kentucky Beta,"October 17, 1854 – 1865",Kentucky Military Institute,"Lyndon, Kentucky",Inactive,[c]
Kentucky Gamma,"January 20, 1857 – 1857;
1875–1876",Georgetown College,"Georgetown, Kentucky",Inactive,
Wisconsin Alpha,"June 27, 1857 – 1861;
1880–1962;
1977–2001;
2015",University of Wisconsin–Madison,"Madison, Wisconsin",Active,
Wisconsin Beta,"February 3, 1859 – 1860;
1934–2010",Lawrence University,"Appleton, Wisconsin",Inactive,[d]
Illinois Alpha,"February 13, 1859 – 1861;
1886–2021",Northwestern University,"Evanston, Illinois",Inactive,
Indiana Gamma,"October 22, 1859 – 2002;
2009",Butler University,"Indianapolis, Indiana",Active,
Ohio Beta,"March 19, 1860 – 1861;
1971–1877;
1879–2018;
2021?",Ohio Wesleyan University,"Delaware, Ohio",Active,[9]
Indiana Delta,"April 28, 1860 – 2004;
2008 – April 5, 2016;
2019",Franklin College,"Franklin, Indiana",Active,
Indiana Epsilon,"April 6, 1861",Hanover College,"Hanover, Indiana",Active,
Michigan Alpha,"November 28, 1864 – 1869;
1887–1998;
2004",University of Michigan,"Ann Arbor, Michigan",Active,
Illinois Beta,"January 11, 1866 – 1871;
1897–2016;
2019",University of Chicago,"Chicago, Illinois",Active,
Indiana Zeta,"February 15, 1868 – 1872;
1880",DePauw University,"Greencastle, Indiana",Active,
Ohio Gamma,"March 29, 1868 – 1976;
1980",Ohio University,"Athens, Ohio",Active,
Indiana Eta,"April 15, 1869 – 1870;
1969–2016",Indiana State University,"Terre Haute, Indiana",Inactive,[e]
Virginia Alpha,"May 31, 1869 – 1896",Roanoke College,"Salem, Virginia",Inactive,
Missouri Alpha,"November 26, 1870 – 2015;
2017",University of Missouri,"Columbia, Missouri",Active,
Illinois Gamma,"January 12, 1871 – 1884;
2008",Monmouth College,"Monmouth, Illinois",Active,
Illinois Delta,"January 12, 1871 – September 30, 1930",Knox College,"Galesburg, Illinois",Consolidated,[f]
Georgia Alpha Prime,"June 5, 1871 – 1872",Oglethorpe University,"Brookhaven, Georgia",Moved,[g]
Georgia Alpha,"June 5, 1871",University of Georgia,"Athens, Georgia",Active,[g]
Georgia Beta,"June 15, 1871 – 2013",Emory University,"Atlanta, Georgia",Inactive,
Iowa Alpha,"September 27, 1871 – 2009",Iowa Wesleyan University,"Mount Pleasant, Iowa",Inactive,[h][9]
Georgia Gamma,"January 2, 1872",Mercer University,"Macon, Georgia",Active,
Ohio Delta,"February 24, 1872 – 1913",College of Wooster,"Wooster, Ohio",Inactive,[i]
New York Alpha,"February 29, 1872 – 1876;
1886–1970;
1973",Cornell University,"Ithaca, New York",Active,[j]
Pennsylvania Alpha,"June 5, 1873 – 1993",Lafayette College,"Easton, Pennsylvania",Inactive,[k]
California Alpha,"June 8, 1873 – 1877;
1886–1969;
1973–1977;
1980","University of California, Berkeley","Berkeley, California",Active,
Michigan Beta,"November 9, 1873 – 1898;
1931–2004;
2014",Michigan State University,"East Lansing, Michigan",Active,[l]
Virginia Beta,"November 18, 1873 – 2000;
2001",University of Virginia,"Charlottesville, Virginia",Active,[m]
Virginia Gamma,"February 2, 1874 – 1994;
2001–2023",Randolph–Macon College,"Ashland, Virginia",Inactive,[n]
Ohio Epsilon,"January 19, 1875 – 1896;
1924",University of Akron,"Akron, Ohio",Active,[o]
Nebraska Alpha,"March 16, 1875 – 1876;
1883–1998;
2004",University of Nebraska–Lincoln,"Lincoln, Nebraska",Active,
Pennsylvania Beta,"May 5, 1875 – 1997;
2005",Gettysburg College,"Gettysburg, Pennsylvania",Active,
Virginia Delta,"September 30, 1875 – 1895;
1939–2007",University of Richmond,"Richmond, Virginia",Inactive,[p]
Pennsylvania Gamma,"December 4, 1875 – 2020",Washington & Jefferson College,"Washington, Pennsylvania",Inactive,
Tennessee Alpha,"January 20, 1876 – 2004;
2010–2017;
2023",Vanderbilt University,"Nashville, Tennessee",Active,
Pennsylvania Delta Prime (see Pennsylvania Eta),1876–1877,Lehigh University,"Bethlehem, Pennsylvania","Inactive, Reassigned",[q]
Missouri Beta Prime,"May 29, 1876 – 1878;
2006",Central Methodist University,"Fayette, Missouri",Active,[r]
Mississippi Alpha,"June 9, 1877 – 1912;
1926",University of Mississippi,"Oxford, Mississippi",Active,
Alabama Alpha,"October 17, 1877 – 1878;
1883",University of Alabama,"Tuscaloosa, Alabama",Active,
Virginia Epsilon,"February 9, 1878 – 1889",Virginia Military Institute,"Lexington, Virginia",Inactive,[s]
Illinois Epsilon,"May 23, 1878 – 1897",Illinois Wesleyan University,"Bloomington, Illinois",Inactive,
Texas Alpha,"May 23, 1878 – 1883",Trinity University,"San Antonio, Texas",Inactive,
North Carolina Alpha,"September 6, 1878 – 1879;
1926–2021",Duke University,"Durham, North Carolina",Inactive,[t]
Illinois Zeta,"November 4, 1878 – September 30, 1930",Lombard College,"Galesburg, Illinois",Consolidated,[u][f]
Alabama Beta,"January 30, 1879 – 2014;
March 5, 2017",Auburn University,"Auburn, Alabama",Active,
South Carolina Alpha,"January 31, 1879 – 1884",Wofford College,"Spartanburg, South Carolina",Inactive,
Pennsylvania Delta,"May 8, 1879 – 19xx ?;
2002",Allegheny College,"Meadville, Pennsylvania",Active,[q]
Vermont Alpha,"October 30, 1879 – 2011",University of Vermont,"Burlington, Vermont",Inactive,
Missouri Beta,"October 27, 1880",Westminster College,"Fulton, Missouri",Active,
Pennsylvania Epsilon,"October 27, 1880 – 201x ?",Dickinson College,"Carlisle, Pennsylvania",Inactive,
Minnesota Alpha,"October 12, 1881 – 1889;
1891–1991;
2010–2016",University of Minnesota,"Minneapolis, Minnesota",Colony,[10][v]
Iowa Beta,"March 27, 1882 – 2005;
2009",University of Iowa,"Iowa City, Iowa",Active,
Kansas Alpha,"November 24, 1882",University of Kansas,"Lawrence, Kansas",Active,
Michigan Gamma,"January 23, 1883 – 1989",Hillsdale College,"Hillsdale, Michigan",Inactive,
Tennessee Beta,"March 21, 1883 – 199x ?;
2003–2005",Sewanee: The University of the South,"Sewanee, Tennessee",Inactive,[w]
Ohio Zeta,"October 6, 1883 – 2020",Ohio State University,"Columbus, Ohio",Inactive,
Pennsylvania Zeta,"November 22, 1883",University of Pennsylvania,"Philadelphia, Pennsylvania",Active,
New York Beta,"December 3, 1883 – 2017",Union College,"Schenectady, New York",Inactive,
Maine Alpha,"April 1, 1884 – 1986",Colby College,"Waterville, Maine",Inactive,[x][y]
New York Gamma,"February 19, 1884 – 1891",City College of New York,"New York City, New York",Inactive,
New York Delta,"May 12, 1884 – 1890;
1893–1935",Columbia University,"New York City, New York",Inactive,
New Hampshire Alpha,"October 30, 1884 – 1960",Dartmouth College,"Hanover, New Hampshire",Withdrew,[z]
North Carolina Beta,"March 29, 1885",University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Active,[aa]
Kentucky Delta (See Kentucky Alpha-Delta),"November 18, 1885 – August 9, 1901",Central University of Kentucky,"Richmond, Kentucky",Consolidated,[b]
Massachusetts Alpha,"February 1, 1886 – 1953;
1956–1961",Williams College,"Williamstown, Massachusetts",Inactive,[ab][y]
