Chapter,Charter date and range,Institution,City,State or province,Status,Reference
Alpha,"May 1, 1848 – 1869;
September 19, 1873 – November 2018",Washington & Jefferson College,Washington,PA,Colony,[a][b][c]
Beta Prime,"June 7, 1848 – 1865",Washington University,Washington,PA,Merged,[d]
Gamma Prime,"January 9, 1850 – 1851",Nashville University,Nashville,TN,"Inactive, Reassigned",[e]
Delta Prime,"February 5, 1851 – April 1961;
June 10, 1870 – c. 1873",Union University,Murfreesboro,TN,Inactive,[f]
Epsilon,"March 14, 1851 – 1852;
1859–1861;
October 31, 1887 – 1898;
1926",University of North Carolina at Chapel Hill,Chapel Hill,NC,Active,[g]
Zeta,July 1852–1853,Maryville College,Maryville,TN,Inactive,
Eta,"March 23, 1855 – 1857;
September 30, 1879 – 1897",Marietta College,Marietta,OH,Inactive,[h]
Theta,"May 11, 1855 – 1859;
November 22, 1875 – December 1877;
June 3, 1901",University of Alabama,Tuscaloosa,AL,Active,
,"May 15, 1855 – 1868",University of Mississippi,Oxford,TX,Inactive,
Iota Prime,"November 20, 1855 – 1856",Centre College,Danville,KY,Inactive,
"Kappa
(See also Chi Prime)","April 1856–1861;
June 13, 1881 – 1886;
January 28, 1978",Baylor University,Waco,TX,Active,[5][i]
Lambda,"June 24, 1856 – November 1856;
June 8, 1857",DePauw University,Greencastle,IN,Active,[j]
Mu Prime,"January 30, 1856 – 1861",Howard College,Homewood,AL,Inactive,
Nu,"April 8, 1857 – 1861;
November 14, 1865 – 1879;
November 26, 1881 – October 27, 1883;
October 1887 – September 14, 1912",Bethel College,Russellville,KY,Inactive,[k]
Xi,"March 31, 1858 – 2020;
2023",Gettysburg College,Gettysburg,PA,Active,
Omicron,"January 17, 1859 – 1860;
1867–1882;
1889–1894;
1897 – August 11, 1998;
February 14, 2004 – June 2022",University of Virginia,Charlottesville,VA,Inactive,[6][l][m]
Pi,"June 5, 1860 – August 1, 1998;
October 4, 2014",Allegheny College,Meadville,PA,Active,
Rho,"November 9, 1860 – 1862",Transylvania University,Harrodsburg,KY,Inactive,
,"February 18, 1861 – 1866",Soule University,Chappell Hill,TX,Inactive,
Sigma Prime (see Pi Sigma),"October 3, 1863 – October 26, 1872",University of Western Pennsylvania,Pittsburgh,PA,Inactive,[n]
Tau,"January 29, 1864 – May 20, 2000;
May 13, 2006",Hanover College,Hanover,IN,Active,
Upsilon,"November 14, 1865 – July 26, 1906",College of the City of New York,New York City,NY,Inactive,
Phi Prime,"December 1865 – February 28, 1870",Baker University,Baldwin City,KS,"Inactive, Reassigned",
"Chi Prime
(See also Kappa)",1866 – 1869,Waco College,Waco,TX,Inactive,[o]
Psi,"June 19, 1866 – 1873;
1882–1999;
2007",Wabash College,Crawfordsville,IN,Active,[p]
Omega,"November 27, 1866 – September 18, 1999;
October 6, 2007",Columbia University,New York City,NY,Active,
Alpha Deuteron,"December 4, 1866",Illinois Wesleyan University,Bloomington,IL,Active,
Beta Deuteron,"December 1866 – June 8, 1905",Roanoke College,Salem,VA,Inactive,
