Chapter,Charter date and range,Institution,City or county,"State, district, or province",Status,References
Alpha,"January 1, 1869 – 1888;
1909–1915",Virginia Military Institute,Lexington,Virginia,Inactive,[6][a]
Beta,"1871–1879,
1883–1891,
1900–2014,
2020",University of Virginia,Charlottesville,Virginia,Active,[7][b]
Gamma (First),1871–1871,Bailey Law School,Asheville,North Carolina,Inactive,[6][c]
Delta (First),1871–1872,Tarboro citywide,Tarboro,North Carolina,Inactive,[6][d]
Mu,"1873–1877,
1884–2000,
2004",University of Georgia,Athens,Georgia,Active,[6][e]
Theta,"1874–1882,
1884",University of Alabama,Tuscaloosa,Alabama,Active,[6][e]
Iota,"1879–1881,
1884–1886,
1890",Samford University,Homewood,Alabama,Active,[6][e]
Kappa,"1881–1933,
1972–2016,
April 2019",University of North Georgia,Dahlonega,Georgia,Active,[8][9][f]
Lambda,"1882–2020, 2024",Washington and Lee University,Lexington,Virginia,Active,[g]
Epsilon,"1883–1885,
1899–2017",Bethany College,Bethany,West Virginia,Inactive,
Zeta,1883–1901,Central University of Kentucky,Richmond,Kentucky,Inactive,[10][h]
Eta,"1884–1932,
1948",Mercer University,Macon,Georgia,Active,[i]
Nu,"1884–2005,
2008",University of Kansas,Lawrence,Kansas,Active,
Xi,"1884–1990,
1994–2014",Emory University,Atlanta,Georgia,Inactive,[11][j]
Omicron,1884–1904,Bethel College,Russellville,Kentucky,Inactive,[10][k]
Pi,1885–2002,Lehigh University,Bethlehem,Pennsylvania,Inactive,
Delta (Second),"1886–1897,
1928–198x ?
199x ?",University of South Carolina,Columbia,South Carolina,Active,[12][l]
Rho,1886,University of Missouri,Columbia,Missouri,Active,
Sigma,"1886–1888,
1891–200x ?,
2008",Vanderbilt University,Nashville,Tennessee,Active,
Tau,1886–1891,South Carolina Military Academy,Charleston,South Carolina,Inactive,[12][m]
Upsilon,"1886–2015,
20xx ?",University of Texas at Austin,Austin,Texas,Active,
Phi,"1887–2004,
2008",Louisiana State University,Baton Rouge,Louisiana,Active,[n]
Chi,1888–1913,Cornell College,Mount Vernon,Iowa,Colony,[12][m][o]
Psi,"1888–200x ?,
2007",University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,Active,
Beta Phi,"1888–1890,
1895–1898,
1903–1934,v1962–200x ?",Tulane University,New Orleans,Louisiana,Inactive,
Beta Alpha,"1889–1892,
1985",Yale University,New Haven,Connecticut,Active,[10][p]
Beta Omicron,"1889–1893,
1921",Sewanee: The University of the South,Sewanee,Tennessee,Active,[q]
Beta Beta,1890,DePauw University,Greencastle,Indiana,Active,[r]
Beta Theta,1890,Auburn University,Auburn,Alabama,Active,
Beta Gamma,"1891–1896,
1931–2013",Missouri Valley College,Marshall,Missouri,Inactive,[12][m][s]
Beta Delta,1891–1894,Drake University,Des Moines,Iowa,Inactive,[12][m]
Beta Epsilon (First),1891–1894,Upper Iowa University,Fayette,Iowa,"Inactive, Reassigned",[12][m]
Beta Zeta,"1891–2015,
2022",Purdue University,West Lafayette,Indiana,Active,[13][t]
Beta Nu,1891–1991,Ohio State University,Columbus,Ohio,Colony,[o]
Beta Chi,"1891–1963,
19xx ?",Stanford University,Stanford,California,Active,
Delta Theta (First),1891–1930,Lombard College,Galesburg,Illinois,Moved,[u]
Delta Theta (Second),1930,Knox College (Illinois),Galesburg,Illinois,Active,[v]
Beta Eta,"1892–2017,
2022",Indiana University Bloomington,Bloomington,Indiana,Active,[14][w][x]
Beta Iota,1892,University of Mount Union,Alliance,Ohio,Active,
Beta Kappa (First),1892–1887,Southwest Kansas College,Winfield,Kansas,Moved,[10][y]
Beta Lambda,1892–1902,Central College,Fayette,Missouri,Inactive,[12][m]
Beta Psi,1892,"University of California, Berkeley",Berkeley,California,Active,
Beta Mu,1893–2019,University of Iowa,Iowa City,Iowa,Inactive,
Beta Xi,1894–2001,William Jewell College,Liberty,Missouri,Inactive,[z]
Beta Rho,"1894–1895,
1897–1898,
1904",University of Pennsylvania,Philadelphia,Pennsylvania,Active,
Beta Pi (see Gamma Rho),1895–1934,University of Chicago,Chicago,Illinois,Inactive,[aa]
Beta Tau,"1895–200x ?,
2009",North Carolina State University,Raleigh,North Carolina,Active,
Beta Upsilon,1895,Rose–Hulman Institute of Technology,Terre Haute,Indiana,Active,
Gamma Gamma,"1895–1997,
2003",Albion College,Albion,Michigan,Active,
Gamma Chi,1896,University of Washington,Seattle,Washington,Active,
Gamma Alpha,1896,Georgia Tech,Atlanta,Georgia,Active,
Gamma Beta,"1898–200x ?,
2013",Northwestern University,Evanston,Illinois,Active,[ab]
Beta Sigma,1898–1990,University of Vermont,Burlington,Vermont,Inactive,[ac]
Gamma Delta,1900,Stevens Institute of Technology,Hoboken,New Jersey,Active,
Gamma Epsilon,1900–1995,Lafayette College,Easton,Pennsylvania,Inactive,
Gamma Zeta,"1900–1970,
19xx ?–2004,
2010",University of Oregon,Eugene,Oregon,Active,
Gamma Eta,1901,Colorado School of Mines,Golden,Colorado,Active,
Gamma Theta,1901–2018,Cornell University,Ithaca,New York,Inactive,
Gamma Iota,"1902–1965,
1967–2012,
2016",University of Kentucky,Lexington,Kentucky,Active,
Gamma Kappa,1902,University of Colorado Boulder,Boulder,Colorado,Active,
Gamma Lambda,"1902–1962,
1980–200x ?",University of Wisconsin–Madison,Madison,Wisconsin,Inactive,
Gamma Mu,1902,University of Illinois at Urbana-Champaign,Urbana,Illinois,Active,[15]
Gamma Nu,"1902–2009,
2020",University of Michigan,Ann Arbor,Michigan,Active,
