hapter,Charter date and range,Institution,Location,Status,References
Alpha,"June 25, 1855 – 1858;
September 13, 1892 – 2012;
2017",Miami University,"Oxford, Ohio",Active,[6][a][b]
Eta,"October 10, 1857 – 1861;
January 1, 1866 – 1912; 1926",University of Mississippi,"Oxford, Mississippi",Active,[8][c]
Lambda,"September 10, 1858",Indiana University Bloomington,"Bloomington, Indiana",Active,[10][6]
Xi,"June 1, 1859",DePauw University,"Greencastle, Indiana",Active,
Theta,"April 3, 1863 – 2005; 2009",Gettysburg College,"Gettysburg, Pennsylvania",Active,[13][f]
Kappa,"May 4, 1864 – 1874; 1879",Bucknell University,"Lewisburg, Pennsylvania",Active,[g]
Epsilon (Second),"June 10, 1864 – 1880;
December 22, 1892 – January 8, 1972;
January 5, 1973 – 1998; 2007",George Washington University,"Washington, D.C.",Active,[14][h]
Rho (Second),"March 31, 1865",Butler University,"Indianapolis, Indiana",Active,
Zeta,"December 10, 1866",Washington and Lee University,"Lexington, Virginia",Active,
Psi (See Rho Original),"November 29, 1866",University of Virginia,"Charlottesville, Virginia",Active,[5][12][15][e]
Mu,"March 2, 1868 – 1876;
1880–2000; 2004",Denison University,"Granville, Ohio",Active,[j]
Sigma (Second),"February 1869–1870;
June 17, 1875 – 1882; 2010",Princeton University,"Princeton, New Jersey",Active,[17][l]
Chi,"May 30, 1871 – 1918; 1936",Hanover College,"Hanover, Indiana",Active,[m]
Sigma Sigma,"January 1, 1871 – 1889;
September 1890–1902;
1931 – November 5, 1977; 1984",Hampden–Sydney College,"Hampden Sydney, Virginia",Active,[18][n]
Tau,"January 9, 1872 – 1890;
March 31, 1896 – 1901; 1923",Roanoke College,"Salem, Virginia",Active,[o]
Pi (Second),"November 4, 1872 – 1885; 1984",Samford University,"Homewood, Alabama",Active,[p]
Delta,"November 8, 1872 – 1885;
June 18, 1910 – 1990; 1996",University of Georgia,"Athens, Georgia",Active,[q]
Nu (Second),"December 1872–1880, 2014",Cumberland University,"Lebanon, Tennessee",Active,[r]
Delta Delta,"March 1, 1875",Purdue University,"West Lafayette, Indiana",Active,
Phi Phi,"September 27, 1875 – 1878;
1884–1887;
May 9, 1896",University of Pennsylvania,"Philadelphia, Pennsylvania",Active,[19]
Iota Iota,"October 29, 1876 – 1877; 1914",University of Alabama,"Tuscaloosa, Alabama",Active,[t]
