Chapter,Charter date and range,Institution,Location,Status,References
Alpha,"January 10, 1899 – c. 1941;
c. 1944",Illinois Wesleyan University,"Bloomington, Illinois",Active,[6][7][a]
Beta,"April 17, 1908 – c. 1941;
February 1946",Millikin University,"Decatur, Illinois",Active,[6][b]
Gamma,"February 3, 1912 – 1987 ?;
1998–2015;
2018",University of Illinois Urbana-Champaign,"Champaign, Illinois",Colony,[8][9][c]
Delta,"November 22, 1912",Knox College,"Galesburg, Illinois",Active,
Epsilon,"May 28, 1915",Iowa State University,"Ames, Iowa",Active,[d]
Zeta,"May 12, 1916",Coe College,"Cedar Rapids, Iowa",Active,[e]
Eta,"February 17, 1917 – 1932",University of Chicago,"Chicago, Illinois",Inactive,[6][f]
Theta,"March 10, 1917 – 1942;
1948–1963;1980–1987; 2014",University of Minnesota,"Minneapolis, Minnesota",Active,[g]
Iota,"April 21, 1917",Eureka College,"Eureka, Illinois",Active,[h]
Kappa,"May 12, 1917 – 1972;
1984",Beloit College,"Beloit, Wisconsin",Active,[i]
Lambda,"December 15, 1917 – 1933;
1947–1971;
1974–19xx ?;
1992",University of Wisconsin–Madison,"Madison, Wisconsin",Active,[j]
Mu,"September 19, 1919 – 1994",Carroll University,"Waukesha, Wisconsin",Inactive,[k]
Nu,"October 3, 1919 – 1933;
1947–1994;
2004","University of California, Berkeley","Berkeley, California",Active,[l]
Xi,"September 17, 1920",Washington University in St. Louis,"St. Louis County, Missouri",Active,[m]
Omicron,"May 27, 1921 – April 2001;
April 2002–January 2018",Ohio State University,"Columbus, Ohio",Colony,[10][11][12][13][n]
Pi,,Pennsylvania State University,"State College and College Township, Pennsylvania",Active,[14][o]
Rho,"January 1, 1923 – April 2017, 202x ?",West Virginia University,"Morgantown, West Virginia",Active,[15][16][p]
Scorpion,"May 24, 1923 – 1934;
1940–2012",Cornell University,"Ithaca, New York",Inactive,[17][q]
Tau,"January 17, 1924 – 1933;
1951–1977;
19xx ?–2014, 2024",Oregon State University,"Corvallis, Oregon",Active,[18][r]
Upsilon,"January 1, 1925 – 1942;
1948–1981;1987–2002; 2012–2017; 2024",University of Michigan,"Ann Arbor, Michigan",Active,[s]
Phi,"May 28, 1925 – 1935;
1947–1958;
1969–1996;
2008–2021",University of Nebraska–Lincoln,"Lincoln, Nebraska",Inactive,[6][t]
Chi,"May 20, 1926 – 199x ?;
199s ?",University of Washington,"Seattle, Washington",Active,[u]
Psi,"November 23, 1926 – 2010",Gettysburg College,"Gettysburg, Pennsylvania",Inactive,[v]
Omega,"January 1, 1927",Albion College,"Albion, Michigan",Active,[w]
Alpha-Alpha,"June 16, 1927 – 1937;
1962",Wabash College,"Crawfordsville, Indiana",Active,[x]
Alpha-Beta,"November 18, 1927 – 1977; 2024",Ohio University,"Athens, Ohio",Active,[y]
Alpha-Gamma,"December 29, 1927 – 2000; 2009",Washington State University,"Pullman, Washington",Active,[z]
Alpha-Delta,"December 29, 1927 – 2003;
2022",University of Idaho,"Moscow, Idaho",Active,[aa]
Alpha-Epsilon,"October 4, 1928 – 1993",Monmouth College,"Monmouth, Illinois",Inactive,[ab]
Alpha-Zeta,"December 20, 1928",Purdue University,"West Lafayette, Indiana",Active,[19][ac]
Alpha-Eta,"June 2, 1930 – 200x ?;
2011–2018",Rutgers University–New Brunswick,"New Brunswick, New Jersey",Inactive,[ad]
