Institution,Query,Link 1,Link 2,Link 3
Southeast Missouri State University,Southeast Missouri State University Delta_Chi frat,https://semo.edu/life-at-semo/student-life/greek-life/,https://semo.edu/life-at-semo/student-life/greek-life/,https://www.greekrank.com/uni/403/fraternity/D-Chi-Delta-Chi/46/rating/
University of North Carolina at Charlotte,University of North Carolina at Charlotte Delta_Chi frat,https://greeklife.charlotte.edu/,https://greeklife.charlotte.edu/,https://www.greekrank.com/uni/327/fraternities/
University of Colorado Denver/Anschutz Medical Campus,University of Colorado Denver/Anschutz Medical Campus Delta_Chi frat,https://www.ucdenver.edu/student-life/student-organizations/sororities-fraternities,https://www.ucdenver.edu/student-life/student-organizations/sororities-fraternities,https://www.ucdenver.edu/student-life/student-organizations/sororities-fraternities
Ball State University,Ball State University Delta_Chi frat,https://deltachi.org/delta-chi-announces-expansions-at-ballstate/,https://www.bsu.edu/campuslife/fraternity-and-sorority-life/ball-state-chapters,https://www.bsu.edu/campuslife/fraternity-and-sorority-life/ball-state-chapters
Wayne State University,Wayne State University Delta_Chi frat,https://www.classcreator.com/Detroit-Michigan-Wayne-State-University-1957-1971/class_index.cfm,https://www.classcreator.com/Detroit-Michigan-Wayne-State-University-1957-1971/class_index.cfm,https://reuther.wayne.edu/files/WSR002792.pdf
Lake Forest College,Lake Forest College Delta_Chi frat,https://campus.lakeforest.edu/deltachi/,https://www.lakeforest.edu/student-life/activities-and-clubs/fraternities-and-sororities,https://www.lakeforest.edu/student-life/activities-and-clubs/fraternities-and-sororities
University of North Georgia,University of North Georgia Delta_Chi frat,https://ung.edu/fraternity-sorority-life/fraternity.php,https://ung.edu/fraternity-sorority-life/fraternity.php,https://ung.edu/fraternity-sorority-life/fraternity.php
State University of New York at Cortland,State University of New York at Cortland Delta_Chi frat,https://www2.cortland.edu/offices/campus-activities/fraternities-and-sororities.dot,https://www2.cortland.edu/offices/campus-activities/fraternities-and-sororities.dot,https://www2.cortland.edu/offices/campus-activities/fraternities-and-sororities.dot
Truman State University,Truman State University Delta_Chi frat,https://ifc.truman.edu/ifc-fraternities/delta-chi/,https://www.greekrank.com/uni/456/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/456/fraternity/D-Chi-Delta-Chi/46/rating/
University of Florida,University of Florida Delta_Chi frat,https://www.ufdeltachi.org/,https://www.greekrank.com/uni/31/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/31/fraternity/D-Chi-Delta-Chi/46/rating/
