Institution,Query,Link 1,Link 2,Link 3
Southeast Missouri State University,Southeast Missouri State University SNU frat,https://semosigmanu.com/main-page/,https://semo.edu/life-at-semo/student-life/greek-life/,https://semo.edu/life-at-semo/student-life/greek-life/
University of North Carolina at Charlotte,University of North Carolina at Charlotte SNU frat,https://greeklife.charlotte.edu/,https://greeklife.charlotte.edu/,https://cone.charlotte.edu/inside-cone-center/office-fraternity-and-sorority-life
University of California-Santa Barbara,University of California-Santa Barbara SNU frat,https://www.greekrank.com/uni/119/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/119/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/119/fraternity/SNU-Sigma-Nu/92/rating/
Davidson College,Davidson College SNU frat,https://www.davidson.edu/offices-and-services/student-activities/student-organizations/fraternity-sorority-life-patterson-court-council,https://www.davidson.edu/offices-and-services/student-activities/student-organizations/fraternity-sorority-life-patterson-court-council,https://www.davidson.edu/offices-and-services/student-activities/student-organizations/fraternity-sorority-life-patterson-court-council
Samford University,Samford University SNU frat,https://www.greekrank.com/uni/398/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/398/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/398/fraternity/SNU-Sigma-Nu/92/rating/
Ball State University,Ball State University SNU frat,https://www.bsu.edu/campuslife/fraternity-and-sorority-life/ball-state-chapters,https://www.bsu.edu/campuslife/fraternity-and-sorority-life/ball-state-chapters,https://www.bsu.edu/campuslife/fraternity-and-sorority-life/ball-state-chapters
Dean College,Dean College SNU frat,https://www.fox13now.com/news/local-news/university-of-utah-terminates-fraternity-over-hazing-egregious-policy-violations,https://www.fox13now.com/news/local-news/university-of-utah-terminates-fraternity-over-hazing-egregious-policy-violations,https://www.fox13now.com/news/local-news/university-of-utah-terminates-fraternity-over-hazing-egregious-policy-violations
University of North Georgia,University of North Georgia SNU frat,https://www.greekrank.com/uni/577/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/577/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/577/fraternity/SNU-Sigma-Nu/92/rating/
Norwich University,Norwich University SNU frat,https://archives.norwich.edu/digital/api/collection/p16663coll5/id/600/download,https://archives.norwich.edu/digital/api/collection/p16663coll5/id/600/download,https://www.thetachi.org/history
University of Dayton,University of Dayton SNU frat,https://www.greekrank.com/uni/39/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/39/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/39/fraternity/SNU-Sigma-Nu/92/rating/
Bowdoin College,Bowdoin College SNU frat,https://bowdoinorient.com/2022/02/04/end-of-an-era-the-final-years-of-bowdoins-fraternities/,https://bowdoinorient.com/2022/02/04/end-of-an-era-the-final-years-of-bowdoins-fraternities/,https://bowdoinorient.com/2022/02/04/end-of-an-era-the-final-years-of-bowdoins-fraternities/
University of Florida,University of Florida SNU frat,https://www.greekrank.com/uni/31/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/31/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/31/fraternity/SNU-Sigma-Nu/92/rating/
Bard College,Bard College SNU frat,https://www.greekrank.com/uni/35/topic/3663435/what-is-snus-reputation-are-they-a-top-frat/,https://www.greekrank.com/uni/35/topic/3663435/what-is-snus-reputation-are-they-a-top-frat/,https://www.greekrank.com/uni/35/topic/3663435/what-is-snus-reputation-are-they-a-top-frat/
Morehead State University,Morehead State University SNU frat,https://www.moreheadstate.edu/student-life/activities/fraternity-sorority-life/organizations,https://www.moreheadstate.edu/student-life/activities/fraternity-sorority-life/organizations,https://www.moreheadstate.edu/student-life/activities/fraternity-sorority-life/organizations
Union College,Union College SNU frat,https://www.union.edu/fraternity-and-sorority-life,https://www.union.edu/fraternity-and-sorority-life,https://www.union.edu/fraternity-and-sorority-life
University of Kansas,University of Kansas SNU frat,https://www.greekrank.com/uni/341/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/341/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/341/fraternity/SNU-Sigma-Nu/92/rating/
Stetson University,Stetson University SNU frat,https://www.greekrank.com/uni/425/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/425/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/425/fraternity/SNU-Sigma-Nu/92/rating/
Eastern Michigan University,Eastern Michigan University SNU frat,https://www.emich.edu/campus-life/fraternity-sorority-life/index.php,https://www.emich.edu/campus-life/fraternity-sorority-life/index.php,https://www.emich.edu/campus-life/fraternity-sorority-life/index.php
